"document","term","count","sentiment"
"1","aid",3,"positive"
"1","alive",1,"anticipation"
"1","alive",1,"joy"
"1","alive",1,"positive"
"1","alive",1,"trust"
"1","baby",3,"joy"
"1","baby",3,"positive"
"1","bandit",1,"negative"
"1","bitch",2,"anger"
"1","bitch",2,"disgust"
"1","bitch",2,"fear"
"1","bitch",2,"negative"
"1","bitch",2,"sadness"
"1","blue",1,"sadness"
"1","bout",3,"anger"
"1","bout",3,"negative"
"1","brag",1,"negative"
"1","church",1,"anticipation"
"1","church",1,"joy"
"1","church",1,"positive"
"1","church",1,"trust"
"1","clean",3,"joy"
"1","clean",3,"positive"
"1","clean",3,"trust"
"1","coming",1,"anticipation"
"1","competition",1,"anticipation"
"1","competition",1,"negative"
"1","cry",1,"negative"
"1","cry",1,"sadness"
"1","edition",1,"anticipation"
"1","fall",2,"negative"
"1","fall",2,"sadness"
"1","god",1,"anticipation"
"1","god",1,"fear"
"1","god",1,"joy"
"1","god",1,"positive"
"1","god",1,"trust"
"1","hearing",3,"fear"
"1","hearing",3,"negative"
"1","hit",1,"anger"
"1","hit",1,"negative"
"1","hurt",1,"anger"
"1","hurt",1,"fear"
"1","hurt",1,"negative"
"1","hurt",1,"sadness"
"1","khan",1,"fear"
"1","khan",1,"trust"
"1","kill",3,"fear"
"1","kill",3,"negative"
"1","kill",3,"sadness"
"1","king",1,"positive"
"1","lamb",1,"joy"
"1","lamb",1,"positive"
"1","lamb",1,"trust"
"1","lavish",1,"positive"
"1","league",2,"positive"
"1","love",3,"joy"
"1","love",3,"positive"
"1","main",1,"positive"
"1","pain",3,"fear"
"1","pain",3,"negative"
"1","pain",3,"sadness"
"1","pray",2,"anticipation"
"1","pray",2,"fear"
"1","pray",2,"joy"
"1","pray",2,"positive"
"1","pray",2,"surprise"
"1","pray",2,"trust"
"1","pull",1,"positive"
"1","star",1,"anticipation"
"1","star",1,"joy"
"1","star",1,"positive"
"1","star",1,"trust"
"1","tease",1,"anger"
"1","tease",1,"anticipation"
"1","tease",1,"negative"
"1","tease",1,"sadness"
"1","time",1,"anticipation"
